Groceries,Childcare,Mental Health
11697,11697,10097
11694,11694,10096
11693,11693,10081
11692,11692,10080
11691,11691,10075
11451,11451,10069
11436,11436,10065
11435,11435,10055
11434,11434,10048
11433,11433,10047
11432,11432,10045
11430,11430,10044
11429,11429,10043
11428,11428,10041
11427,11427,10040
11426,11426,10039
11423,11423,10038
11422,11422,10037
11421,11421,10036
11420,11420,10035
11419,11419,10034
11418,11418,10033
11417,11417,10032
11416,11416,10031
11415,11415,10030
11414,11414,10029
11413,11413,10028
11412,11412,10027
11411,11411,10026
11385,11385,10025
11379,11379,10024
11378,11378,10023
11377,11377,10022
11375,11375,10021
11374,11374,10020
11373,11373,10019
11372,11372,10018
11371,11371,10017
11370,11370,10016
11369,11369,10014
11368,11368,10013
11367,11367,10012
11366,11366,10011
11365,11365,10010
11364,11364,10009
11363,11363,10007
11362,11362,10006
11361,11361,10005
11360,11360,10004
11359,11359,10003
11358,11358,10002
11357,11357,10001
11356,11356,08879
11355,11355,08863
11354,11354,08861
11251,11251,08859
11249,11249,08840
11239,11239,08837
11238,11238,08832
11237,11237,08830
11236,11236,08820
11235,11235,07981
11234,11234,07974
11233,11233,07961
11232,11232,07940
11231,11231,07936
11230,11230,07932
11229,11229,07928
11228,11228,07922
11226,11226,07901
11225,11225,07760
11224,11224,07758
11223,11223,07748
11222,11222,07747
11221,11221,07737
11220,11220,07735
11219,11219,07734
11218,11218,07733
11217,11217,07732
11216,11216,07730
11215,11215,07721
11214,11214,07718
11213,11213,07716
11212,11212,07704
11211,11211,07701
11210,11210,07677
11209,11209,07676
11208,11208,07675
11207,11207,07670
11206,11206,07666
11205,11205,07663
11204,11204,07662
11203,11203,07661
11201,11201,07660
11109,11109,07657
11106,11106,07656
11105,11105,07652
11104,11104,07650
11103,11103,07649
11102,11102,07648
11101,11101,07647
11096,11096,07646
11040,11040,07645
11005,11005,07644
11004,11004,07643
11001,11001,07642
10475,10475,07641
10474,10474,07640
10473,10473,07632
10472,10472,07631
10471,10471,07630
10470,10470,07628
10469,10469,07627
10468,10468,07626
10467,10467,07624
10466,10466,07621
10465,10465,07620
10464,10464,07608
10463,10463,07607
10462,10462,07606
10461,10461,07605
10460,10460,07604
10459,10459,07603
10458,10458,07601
10457,10457,07524
10456,10456,07522
10455,10455,07514
10454,10454,07513
10453,10453,07512
10452,10452,07508
10451,10451,07506
10314,10314,07505
10312,10312,07504
10310,10310,07503
10309,10309,07502
10308,10308,07501
10307,10307,07481
10306,10306,07470
10305,10305,07463
10304,10304,07458
10303,10303,07452
10302,10302,07450
10301,10301,07440
10286,10286,07432
10285,10285,07424
10282,10282,07423
10281,10281,07417
10280,10280,07410
10279,10279,07407
10278,10278,07401
10275,10275,07311
10271,10271,07310
10270,10270,07307
10265,10265,07306
10260,10260,07305
10259,10259,07304
10203,10203,07302
10196,10196,07208
10178,10178,07206
10177,10177,07205
10176,10176,07204
10175,10175,07203
10174,10174,07202
10173,10173,07201
10172,10172,07114
10171,10171,07112
10170,10170,07111
10169,10169,07110
10168,10168,07109
10167,10167,07108
10166,10166,07107
10165,10165,07106
10162,10162,07105
10158,10158,07104
10155,10155,07103
10154,10154,07102
10153,10153,07095
10152,10152,07094
10151,10151,07093
10128,10128,07092
10123,10123,07090
10122,10122,07088
10121,10121,07087
10120,10120,07086
10119,10119,07083
10118,10118,07081
10115,10115,07080
10112,10112,07079
10111,10111,07078
10110,10110,07077
10107,10107,07076
10106,10106,07075
10105,10105,07074
10104,10104,07073
10103,10103,07072
10097,10097,07071
10096,10096,07070
10081,10081,07068
10080,10080,07067
10075,10075,07066
10069,10069,07065
10065,10065,07064
10055,10055,07062
10048,10048,07060
10047,10047,07058
10045,10045,07057
10044,10044,07055
10043,10043,07052
10041,10041,07050
10040,10040,07047
10039,10039,07045
10038,10038,07044
10037,10037,07043
10036,10036,07042
10035,10035,07041
10034,10034,07040
10033,10033,07039
10032,10032,07036
10031,10031,07035
10030,10030,07033
10029,10029,07032
10028,10028,07031
10027,10027,07030
10026,10026,07029
10025,10025,07028
10024,10024,07027
10023,10023,07026
10022,10022,07024
10021,10021,07023
10020,10020,07022
10019,10019,07021
10018,10018,07020
10017,10017,07018
10016,10016,07017
10014,10014,07016
10013,10013,07014
10012,10012,07013
10011,10011,07012
10010,10010,07011
10009,10009,07010
10007,10007,07009
10006,10006,07008
10005,10005,07006
10004,10004,07004
10003,10003,07003
10002,10002,07002
10001,10001,07001
00083,00083,00083
,,11801
,,11793
,,11756
,,11753
,,11732
,,11710
,,11697
,,11694
,,11693
,,11692
,,11691
,,11598
,,11596
,,11590
,,11581
,,11580
,,11579
,,11577
,,11576
,,11575
,,11572
,,11570
,,11569
,,11568
,,11566
,,11565
,,11563
,,11561
,,11560
,,11559
,,11558
,,11557
,,11556
,,11554
,,11553
,,11552
,,11550
,,11549
,,11548
,,11547
,,11545
,,11542
,,11530
,,11520
,,11518
,,11516
,,11514
,,11510
,,11509
,,11507
,,11501
,,11451
,,11436
,,11435
,,11434
,,11433
,,11432
,,11430
,,11429
,,11428
,,11427
,,11426
,,11425
,,11424
,,11423
,,11422
,,11421
,,11420
,,11419
,,11418
,,11417
,,11416
,,11415
,,11414
,,11413
,,11412
,,11411
,,11385
,,11379
,,11378
,,11377
,,11375
,,11374
,,11373
,,11372
,,11371
,,11370
,,11369
,,11368
,,11367
,,11366
,,11365
,,11364
,,11363
,,11362
,,11361
,,11360
,,11359
,,11358
,,11357
,,11356
,,11355
,,11354
,,11251
,,11249
,,11239
,,11238
,,11237
,,11236
,,11235
,,11234
,,11233
,,11232
,,11231
,,11230
,,11229
,,11228
,,11226
,,11225
,,11224
,,11223
,,11222
,,11221
,,11220
,,11219
,,11218
,,11217
,,11216
,,11215
,,11214
,,11213
,,11212
,,11211
,,11210
,,11209
,,11208
,,11207
,,11206
,,11205
,,11204
,,11203
,,11201
,,11109
,,11106
,,11105
,,11104
,,11103
,,11102
,,11101
,,11096
,,11050
,,11042
,,11040
,,11030
,,11024
,,11023
,,11021
,,11020
,,11010
,,11005
,,11004
,,11003
,,11001
,,10983
,,10976
,,10968
,,10964
,,10962
,,10805
,,10804
,,10803
,,10801
,,10710
,,10709
,,10708
,,10707
,,10706
,,10705
,,10704
,,10703
,,10701
,,10606
,,10583
,,10580
,,10553
,,10552
,,10550
,,10543
,,10538
,,10533
,,10530
,,10528
,,10522
,,10503
,,10502
,,10475
,,10474
,,10473
,,10472
,,10471
,,10470
,,10469
,,10468
,,10467
,,10466
,,10465
,,10464
,,10463
,,10462
,,10461
,,10460
,,10459
,,10458
,,10457
,,10456
,,10455
,,10454
,,10453
,,10452
,,10451
,,10314
,,10312
,,10311
,,10310
,,10309
,,10308
,,10307
,,10306
,,10305
,,10304
,,10303
,,10302
,,10301
,,10286
,,10285
,,10282
,,10281
,,10280
,,10279
,,10278
,,10275
,,10271
,,10270
,,10265
,,10260
,,10259
,,10203
,,10199
,,10196
,,10178
,,10177
,,10176
,,10175
,,10174
,,10173
,,10172
,,10171
,,10170
,,10169
,,10168
,,10167
,,10166
,,10165
,,10162
,,10158
,,10155
,,10154
,,10153
,,10152
,,10151
,,10128
,,10123
,,10122
,,10121
,,10120
,,10119
,,10118
,,10115
,,10112
,,10111
,,10110
,,10107
,,10106
,,10105
,,10104
,,10103